103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:43; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:43; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:43; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:43; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:44; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:44; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:44; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:44; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:45; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:45; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/ev3worksheets.docx; 11/Oct/2014:14:52:00; None; None; None; None
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:15:11:17;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:15:11:17;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:15:11:49;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
206.193.251.72.nauticom.net; 206.193.251.72; /advanced/MyBlockLessons.pptx; 11/Oct/2014:15:11:49;  206.193.251.72.nauticom.net;   40.7219,-79.7469;   Sarver;   Pennsylvania
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/Calibrate/calibration.pptx; 11/Oct/2014:16:11:10;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/Calibrate/calibration.pptx; 11/Oct/2014:16:12:14;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
